Fecha,Unidad de negocio,No. Empleado,No. usuario,Proceso,Tipo de almacén,Area,Ubic.procedencia,Renglones,Piezas,Volumen m3,Volumen cm3,Peso,Codigos,Cajas,Tarimas,Folios,Tiempo,ID,Renglones por hora,Piezas por hora,Volumen m3 por hora,Codigos por hora,Cajas por hora,Tarimas por hora,Folios por hora,Peso por hora,Renglones Obtenido,Pieza Obtenido,Volumen m3 Obtenido,Codigos Obtenido,Cajas Obtenido,Tarimas Otenido,Folios Obtenido,RPV,Ponderacion
01/08/2023,RRRP,100705,AL100705,Salida de almacén,NC00,NCFB,NC,24,1608,0.824664045,824664.045,340.745,,,,,1.014722222,RRRPSalida de almacénNC00NCNCFB,23.65179305,1584.670134,0.812699305,0,0,0,0,335.8012592,0,0,0,0,0,0,0,0,0
01/08/2023,RRRP,100692,AL100692,Salida de almacén,NC00,NCFB,NC,4,420,0.15730288,157302.88,71.696,,,,,0.02,RRRPSalida de almacénNC00NCNCFB,200,21000,7.865144,0,0,0,0,3584.8,0,0,0,0,0,0,0,0,0
01/08/2023,RRRP,100188,AL100188,Salida de almacén,NC00,NCFA,NC,9,756,1.58737738,1587377.38,345.39,,,,,0.650833333,RRRPSalida de almacénNC00NCNCFA,13.8284251,1161.587708,2.438992133,0,0,0,0,530.6888604,0,0,0,0,0,0,0,0,0
01/08/2023,RRRP,100435,AL100435,Salida de almacén,NC00,NCFA,NC,16,2995,1.832977545,1832977.545,435.303,,,,,0.875,RRRPSalida de almacénNC00NCNCFA,18.28571429,3422.857143,2.09483148,0,0,0,0,497.4891429,0,0,0,0,0,0,0,0,0
01/08/2023,RRRP,917970,AL917970,Salida de almacén,NC00,NCFB,NC,2,54,0.051525384,51525.384,13.385,,,,,0.106388889,RRRPSalida de almacénNC00NCNCFB,18.79895561,507.5718016,0.484311703,0,0,0,0,125.8120104,0,0,0,0,0,0,0,0,0
01/08/2023,RRRP,100760,AL100760,Salida de almacén,NC00,NCFB,NC,1,150,0.105165,105165,51.65,,,,,0.167777778,RRRPSalida de almacénNC00NCNCFB,5.960264901,894.0397351,0.626811258,0,0,0,0,307.8476821,0,0,0,0,0,0,0,0,0
01/08/2023,RRRP,918325,AL918325,Salida de almacén,NC00,NCFB,NC,8,1224,0.662742607,662742.607,224.379,,,,,0.214722222,RRRPSalida de almacénNC00NCNCFB,37.25743855,5700.388098,3.086511494,0,0,0,0,1044.973351,0,0,0,0,0,0,0,0,0
01/08/2023,RRRP,100618,AL100618,Salida de almacén,NC00,NCFB,NC,15,1502,0.915067431,915067.431,352.131,,,,,0.353888889,RRRPSalida de almacénNC00NCNCFB,42.38618524,4244.270016,2.585747843,0,0,0,0,995.0326531,0,0,0,0,0,0,0,0,0
01/08/2023,RRRP,100732,AL100732,Salida de almacén,NC00,NCFA,NC,7,1056,1.30786623,1307866.23,392.287,,,,,0.896388889,RRRPSalida de almacénNC00NCNCFA,7.809110629,1178.060118,1.459038868,0,0,0,0,437.6303688,0,0,0,0,0,0,0,0,0
01/08/2023,RRRP,100644,AL100644,Salida de almacén,NC00,NCFA,NC,5,1668,1.07826811,1078268.11,255.9,,,,,0.726666667,RRRPSalida de almacénNC00NCNCFA,6.880733945,2295.412844,1.483855197,0,0,0,0,352.1559633,0,0,0,0,0,0,0,0,0
01/08/2023,RRRP,100680,AL100680,Salida de almacén,NC00,NCFB,NC,1,90,0.06788985,67889.85,8.85,,,,,0.102222222,RRRPSalida de almacénNC00NCNCFB,9.782608696,880.4347826,0.664139837,0,0,0,0,86.57608696,0,0,0,0,0,0,0,0,0
01/08/2023,RRRP,100634,AL100634,Salida de almacén,NC00,NCFB,NC,14,1570,0.66093997,660939.97,237.742,,,,,0.949722222,RRRPSalida de almacénNC00NCNCFB,14.74115238,1653.114946,0.695929772,0,0,0,0,250.3279321,0,0,0,0,0,0,0,0,0
01/08/2023,RRRP,100706,AL100706,Salida de almacén,NC00,NCFA,NC,5,810,2.51790498,2517904.98,499.104,,,,,0.498055556,RRRPSalida de almacénNC00NCNCFA,10.03904071,1626.324596,5.055470122,0,0,0,0,1002.105075,0,0,0,0,0,0,0,0,0
