Fecha,Unidad de negocio,No. Empleado,No. usuario,Proceso,Tipo de almacén,Area,Ubic.procedencia,Renglones,Piezas,Volumen m3,Volumen cm3,Peso,Codigos,Cajas,Tarimas,Folios,Tiempo,ID
01/08/2023,RRRP,100667,AL100667,Salida de almacén,NC00,NCFA,NC,1,150,0.038367,38367,4.92,,,,,0.231666667,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100587,AL100587,Salida de almacén,NC00,NCFA,NC,11,1724,3.250184127,3250184.127,748.622,,,,,0.556388889,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100492,AL100492,Salida de almacén,NC00,NCFA,NC,12,2582,1.9990912,1999091.2,641.481,,,,,0.857777778,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100729,AL100729,Salida de almacén,NC00,NCFB,NC,12,1074,0.377094893,377094.893,119.856,,,,,0.496666667,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,907009,AL907009,Salida de almacén,NC00,NCFB,NC,2,180,0.2198682,219868.2,51.12,,,,,0.090833333,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,913543,AL913543,Salida de almacén,NC00,NCFB,NC,1,720,1.01898,1018980,352.5,,,,,0.106111111,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,100075,AL100075,Salida de almacén,NC00,NCFB,NC,10,1187,1.17579887,1175798.87,215.063,,,,,0.353611111,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,914744,AL914744,Salida de almacén,NC00,NCFB,NC,29,2494,1.3931861,1393186.1,482.034,,,,,0.934166667,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,100348,AL100348,Salida de almacén,NC00,NCFA,NC,8,1872,2.277258582,2277258.582,912.368,,,,,0.996666667,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100489,AL100489,Salida de almacén,NC00,NCFA,NC,5,1494,1.83154432,1831544.32,385.597,,,,,0.606666667,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100435,AL100435,Salida de almacén,NC00,NCFB,NC,9,618,0.408829429,408829.429,144.257,,,,,0.229722222,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,100712,AL100712,Salida de almacén,NC00,NCFA,NC,12,1236,1.037868353,1037868.353,555.745,,,,,0.775277778,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100618,AL100618,Salida de almacén,NC00,NCFB,NC,15,1502,0.915067431,915067.431,352.131,,,,,0.353888889,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,100667,AL100667,Salida de almacén,NC00,NCFB,NC,6,1574,1.065396868,1065396.868,447.338,,,,,0.246944444,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,100489,AL100489,Salida de almacén,NC00,NCFB,NC,7,552,0.97166136,971661.36,410.04,,,,,0.689166667,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,100546,AL100546,Salida de almacén,NC00,NCFB,NC,1,120,1.02131,1021310,8.16,,,,,0.0625,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,100605,AL100605,Salida de almacén,NC00,NCFB,NC,12,2184,0.994796356,994796.356,373.666,,,,,0.541666667,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,100492,AL100492,Salida de almacén,NC00,NCFB,NC,19,2307,1.055814398,1055814.398,419.604,,,,,0.928333333,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,918824,AL918824,Salida de almacén,NC00,NCFA,NC,6,1638,1.068342735,1068342.735,363.516,,,,,0.466388889,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100727,AL100727,Salida de almacén,NC00,NCFB,NC,5,1038,0.366737382,366737.382,139.224,,,,,0.304166667,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,100717,AL100717,Salida de almacén,NC00,NCFB,NC,29,2352,1.439599266,1439599.266,521.638,,,,,0.884166667,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,100605,AL100605,Salida de almacén,NC00,NCFA,NC,6,2640,3.153142715,3153142.715,617.136,,,,,1.218888889,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100677,AL100677,Salida de almacén,NC00,NCFA,NC,8,2004,1.08194722,1081947.22,314.506,,,,,0.635,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100596,AL100596,Salida de almacén,NC00,NCFB,NC,21,1734,1.758844209,1758844.209,373.633,,,,,0.828055556,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,100655,AL100655,Salida de almacén,NC00,NCFB,NC,11,274,0.238867751,238867.751,44.981,,,,,0.451111111,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,100304,AL100304,Salida de almacén,NC00,NCFA,NC,12,1438,47.51802909,47518029.09,705.69,,,,,0.975833333,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100150,AL100150,Salida de almacén,NC00,NCFA,NC,3,756,1.05192186,1051921.86,370.512,,,,,0.68,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100708,AL100708,Salida de almacén,NC00,NCFA,NC,2,288,0.1799988,179998.8,62.221,,,,,0.080555556,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100706,AL100706,Salida de almacén,NC00,NCFB,NC,5,722,0.575147836,575147.836,250.26,,,,,0.323888889,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,100677,AL100677,Salida de almacén,NC00,NCFB,NC,14,3109,1.749820241,1749820.241,367.699,,,,,0.89,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,100669,AL100669,Salida de almacén,NC00,NCFB,NC,6,495,0.132740075,132740.075,39.933,,,,,0.219166667,RRRPSalida de almacénNC00NCNCFB
